P,V
15.082382763, 12.622641509433961
18.2762991128, 12.377358490566037
21.2927756654, 12.216981132075471
24.4866920152, 12.122641509433961
25.7287705957, 11.915094339622641
28.0354879594, 11.877358490566037
30.3422053232, 11.745283018867925
33.8910012674, 11.641509433962264
36.5525982256, 11.528301886792452
39.2141951838, 11.481132075471699
41.6983523447, 11.39622641509434
43.4727503169, 11.31132075471698
45.0697084918, 11.31132075471698
51.8124207858, 11.19811320754717
54.6514575412, 11.09433962264151
55.1837769328, 11.150943396226415
56.7807351077, 11.018867924528301
63.5234474018, 11.056603773584905
64.2332065906, 10.99056603773585
64.2332065906, 10.90566037735849
66.1850443599, 10.69811320754717
67.2496831432, 10.745283018867925
68.4917617237, 10.547169811320755
68.6692015209, 10.60377358490566
71.5082382763, 10.60377358490566
74.1698352345, 10.537735849056604
77.1863117871, 10.415094339622641
75.0570342205, 10.339622641509434
75.9442332066, 10.40566037735849
79.670468948, 10.358490566037736
81.7997465146, 10.283018867924529
83.7515842839, 10.330188679245282
86.2357414449, 10.349056603773585
86.4131812421, 10.31132075471698
87.3003802281, 10.330188679245282
90.3168567807, 10.254716981132075
89.7845373891, 10.18867924528302
93.3333333333, 10.150943396226415
91.381495564, 10.028301886792452
99.0114068441, 9.943396226415093
100.9632446134, 10.056603773584905
100.9632446134, 9.90566037735849
105.2217997465, 9.962264150943396
106.9961977186, 9.915094339622641
104.6894803549, 9.820754716981131
103.8022813688, 9.858490566037736
109.835234474, 9.80188679245283
111.9645120406, 9.830188679245282
113.5614702155, 9.69811320754717
115.3358681876, 9.764150943396228
116.7553865653, 9.69811320754717
123.6755386565, 9.566037735849058
126.1596958175, 9.471698113207548
128.288973384, 9.50943396226415
137.1609632446, 9.367924528301888
65.2978453739, 10.99056603773585
